IDS	QUESTIONS	ANSWER	AUDIO	INFO	CLUE	THEME	SUBTYPE	LEVEL	SEQ	TYPE	PERSON	TENSE	COMMENT	0	dedupeExact		dedupeVague															
54	amigos:_your_ cats	_vuestros_ gatos	S0054	vous	_v_ g	grammar	possessive	A1	54	descriptor				vuestros																		
55	_their_ friend	_su_ amigo	S0055	note: same as his or her	_s_ a	grammar	possessive	A1	55	descriptor				su - their																		
56	_eleven_ people	_once_ personas	S0056	onze	_o_ p	number	cardinal	A1	56	number				once																		
57	_twelve_ months	_doce_ meses	S0057	douze:: two ten	_d_ m	number	cardinal	A1	57	number				doce																		
58	_thirteen_ euros	_trece_ euros	S0058	three ten	_t_ e	number	cardinal	A1	58	number				trece																		
59	_fourteen_ days	_catorce_ días	S0059	four ten	_c_ d	number	cardinal	A1	59	number				catorce																		
60	_fifteen_ years	_quince_ años	S0060	five ten	_q_ a	number	cardinal	A1	60	number				quince																		
61	_my name is_	_mi nombre es_	S0061	nominate	_m n e_	social	greeting	A1	61	phrase				mi nombre es																		
62	amigo: _what is your name_	_¿cómo te llamas?_	S0062	how do you call you	_c t ll_	social	greeting	A1	62	phrase				cómo te llamas																		
63	amigo: _¿how are you?_	_¿cómo estás?_	S0063	how - are you -?	_c e_	social	greeting	A1	63	phrase				cómo estás																		
64	_I'm fine_	_estoy bien_	S0064	- I am - well	_e b_	social	greeting	A1	64	phrase				estoy bien																		
65	_what_ is this?	¿_qué_ es esto?	S0065	esto - is used when we don’t know the gender. Since the question implies not knowing what something is - the gender could not be known	_q_ e e	grammar		A1	65	question				qué																		
66	_who_ is she?	¿_quién_ es ella?	S0066		_q_ e e	grammar		A1	66	question				quién																		
67	_when_ shall we meet?	¿_cuándo_ nos veremos?	S0067		_c_ n v	grammar		A1	67	question				cuándo																		
68	amigo: _where_ are you?	¿_dónde_ estás?	S0068		_d_ e	grammar		A1	68	question				dónde																		
69	amigo: _which_ one would you prefer?	¿_cual_ preferirías?	S0069		_c_ p	grammar		A1	69	question				cual																		
70	amigo: _how_ are you?	¿_cómo_ estás?	S0070		_c_e	grammar		A1	70	question				cómo																		
71	_how much_ are these?	¿_cuánto_ cuestan estos?	S0071	quantity	_c_ c e	grammar		A1	71	question				cuánto																		
72	_sixteen_ years old	_dieciséis_ años	S0072	ten and six annuals	_d_ a	number	cardinal	A1	72	number				dieciséis																		
73	_seventeen_ places available	_diecisiete_ plazas disponibles	S0073	ten and seven	_d_ p d	number	cardinal	A1	73	number				diecisiete																		
74	I'll take _eighteen_	cojo _dieciocho_	S0074	ten and eight	c _d_	number	cardinal	A1	74	number				dieciocho																		
75	he asked for _nineteen_	pidió _diecinueve_	S0075	ten and nine	p _d_	number	cardinal	A1	75	number				diecinueve																		
76	_twenty_ more hours	_veinte_ horas más	S0076	vingt (French)	_v_ h m	number	cardinal	A1	76	number				veinte																		
77	_twenty one_ days	_veintiún_ días	S0077	twenty & one	_v_ d	number	cardinal	A1	77	number				veintiún																		
78	the _first_ person	la _primera_ persona	S0078	primary	l _p_ p	number	ordinal	A1	78	number				primera																		
79	the _second_ day	el _segundo_ día	S0079	c => g morph	e _s_ d	number	ordinal	A1	79	number				segundo - sequence																		
80	the _third_ month	el _tercer_ mes	S0080		e _t_ m	number	ordinal	A1	80	number				tercer																		
81	the _fourth_ quarter	el _cuarto_ cuarto	S0081		e _c_ c	number	ordinal	A1	81	number				cuarto																		
82	the _fifth_ building	el _quinto_ edificio	S0082		e _q_ e	number	ordinal	A1	82	number				quinto																		
83	_okay_	_de acuerdo_	S0083	agreed	_d a_	social	greeting	A1	83	phrase				de acuerdo																		
84	the _correct_ day	el día _correcto_	S0084		e d _c_	judgement		A1	84	descriptor				correcto																		
85	he did it _easily_	lo hizo _fácilmente_	S0085	suffix ly => mente	l h _f_	judgement		A1	85	descriptor				fácilmente																		
86	a _nice_ person_	una persona _agradable_	S0086	there are adjectives like “agradable” that do not vary with gender. They usually end in an “e”	u p _a_	people	mental	A1	86	descriptor				agradable																		
87	it's _not_ possible	_no_ es possible	S0087		_n_ e p	grammar		A1	87	negation				no																		
88	amigo: are you _OK_	estás _OK_	S0088		e _o_	social	greeting	A1	88	phrase				OK																		
89	yes _fine_	si _bien_	S0089			social	greeting	A1	89	phrase				bien																		
90	_yes_ or no?	¿_sí_ o no?	S0090		_s_ o n	common phrases		A1	90	phrase				sí																		
91	he behaved _badly_	se comporto _malamente_	S0091	malevolent malicious mal de mer + ly => mente	s c _m_	judgement		A1	91	descriptor				malamente																		
92	 _horribly_ injured	herido _horriblamente_	S0092	ly => mente	h _h_	grammar		A1	92	modifier				horriblamente																		
93	my _half_	mi _mitad_	S0093	mid	m _m_	number	fraction	A1	93	number				mitad																		
94	one _third_ of three	un _tercio_ de tres	S0094		u _t_ d t 	number	fraction	A1	94	number				tercio																		
95	four _quarters_	cuatro _cuartos_	S0095		c _c_	number	fraction	A1	95	number				cuartos																		
96	a _tenth_ of	la _décima_ parte de	S0096	decimal	l _d_ p d	number	fraction	A1	96	number				décima																		
97	I avoid _it_	_lo_ evito	S0097	evade::lo is the Spanish for “it” when the gender has not been specified	_l_ e	grammar		A1	97	pronoun				lo																		
98	amigo: _this_ is yours	_esto_ es tuyo	S0098		_e_ e t	grammar		A1	98	pronoun				esto																		
99	_these_ are ours	_estos_ son nuestros	S0099	note the “S”	_e_ s n	grammar		A1	99	pronoun				estos																		
100	amigo: _that_ is yours	_eso_ es tuyo	S0100	memory aid: "This" has a “t” in Spanish and "that" (which has a “t” in English does not)	_e_ e t	grammar		A1	100	pronoun				eso																		
101	_those_ are theirs	_esos_ son de ellos	S0101		_e_ s d e	grammar		A1	101	pronoun				esos																		
102	the sky is _red_	el cielo es _rojo_	S0102	rouge	e c e _r_	appearance	colour	A1	102	descriptor				rojo																		
103	an _orange_ fruit	una fruta _naranja_	S0103	almost an anagram	u f _n_	appearance	colour	A1	103	descriptor				naranja																		
104	a _yellow_ drink	una bebida _amarilla_	S0104	amarillo texas	u b _a_	appearance	colour	A1	104	descriptor				amarillo																		
105	a _green_ field	un campo _verde_	S0105	vert verdant	u c _v_	appearance	colour	A1	105	descriptor				verde																		
106	a _blue_ sea	un mar _azul_	S0106	azure	u m _a_	appearance	colour	A1	106	descriptor				azul																		
107	the _white_ houses	las casas _blancas_	S0107	blanc blank sheet of paper	l c _b_	appearance	colour	A1	107	descriptor				blancas																		
108	a _black_ dog	un perro _negro_	S0108	negro	u p _n_	appearance	colour	A1	108	descriptor				negro																		
109	a _grey_ day	un día _gris_	S0109		u d _g_	appearance	colour	A1	109	descriptor				gris																		
110	that _silver_ coin	esa moneda _plateada_	S0110	a silver platter	e m _p_	appearance	colour	A1	110	descriptor				plateada																		
111	this _gold_ colour	este color _dorado_	S0111	El Dorado - the place	e c _d_	appearance	colour	A1	111	descriptor				dorado																		
112	temp: _I_ am	_yo_ estoy	S0112		_y_ e	grammar		A1	112	pronoun				yo																		
113	temp amigo: _you_ are	_tú_ estás	S0113	French	_t_ e	grammar		A1	113	pronoun				tú																		
114	temp: _he_ is	_él_ está	S0114	masculine plural they = ELLOS	_é_ e	grammar		A1	114	pronoun				él																		
115	temp: _she_ is	_ella_ está	S0115	French, feminine plural they =. ELLAS	_e_ e	grammar		A1	115	pronoun				ella																		
116	temp señor: _you_ are	_usted_ está	S0116		_u_ e	grammar		A1	116	pronoun				usted																		
117	temp: _we_ are	_nosotros_ estamos	S0117	cosa nostra	_n_ e	grammar		A1	117	pronoun				nosotros																		
118	temp amigos: _you_ are	_vosotros_ estáis	S0118		_v_ e	grammar		A1	118	pronoun				vosotros																		
119	temp plural: _you_ are	_ustedes_ están	S0119		_u_ e	grammar		A1	119	pronoun				ustedes																		
120	this _shelf_ or that one	este _estante_ o aquel	S0120		e _e_ o a	home	misc	A1	120	noun				estante																		
121	a _drink_	una _bebida_	S0121	to imbibe::from the verb bebir	u _b_	food	drink	A1	121	noun				bebida																		
122	cold _water_	_agua_ fría	S0122	morph	_a_ f	food	drink	A1	122	noun				agua																		
123	red _wine_	_vino_ tinto	S0123	french vin slang vino	_v_ t	food	drink	A1	123	noun				vino																		
124	hot _tea_	_té_ caliente	S0124	sound	_t_ c	food	drink	A1	124	noun				té																		
125	black _coffee_	_café_ negro	S0125	negrO tells us that coffee is masculine	_c_ n	food	drink	A1	125	noun				café																		
126	fresh _milk_	_leche_ fresca	S0126	lactate / lactose	_l_ f	food	drink	A1	126	noun				leche																		
127	a cold _beer_	una _cerveza_ fría	S0127		u _c_ f	food	drink	A1	127	noun				cerveza																		
128	a tasty _soup_	una _sopa_ sabrosa	S0128	proximity	u _s_ s	food	meal	A1	128	noun				sopa																		
129	_mineral water_	_agua mineral_	S0129	morph	_a m_	food	drink	A1	129	noun				agua mineral																		
130	orange _juice_	_zumo_ de naranja	S0130		_z_ d n	food	drink	A1	130	noun				zumo																		
131	_mine_	_el mío_	S0131		_e m_	grammar	possession	A1	131	pronoun	grammar			el mío																		
132	amigo: _yours_	_el tuyo_	S0132	french	_e t_	grammar	possession	A1	132	pronoun	grammar			el tuyo																		
133	_hers_	_el suyo_	S0133	his / hers / yours (usted) are all the same	_e s_	grammar	possession	A1	133	pronoun	grammar			el suyo hers																		
134	_ours_	_el nuestro_	S0134	cosa nostra	_e n_	grammar	possession	A1	134	pronoun	grammar			el nuestro																		
135	amigos: _yours_	_el vuestro_	S0135		_e v_	grammar	possession	A1	135	pronoun	grammar			el vuestro																		
136	theirs	_el suyo_	S0136		_e s_	grammar	possession	A1	136	pronoun	grammar			el suyo theirs																		
137	a _big_ house	una casa _grande_	S0137	synonym	u c _g_	appearance	dimension	A1	137	descriptor				grande																		
138	a _small_ fridge	un frigorífico _pequeño_	S0138	pequeño can go before or after the noun	u f _p_	appearance	dimension	A1	138	descriptor				pequeño																		
139	a _bad_ storm	una _mala_ tormenta	S0139		u _m_ t	judgement	judgement	A1	139	descriptor				mala																		
140	_far from_ here	_lejos de_ aquí	S0140		_l d_ a	grammar	location	A1	140	preposition				lejos de far from																		
141	it is _expensive_	es _caro_	S0141		e _c_	shopping	money	A1	141	descriptor				caro																		
142	this one is _cheap_	este es _barato_	S0142		e e _b_	shopping	money	A1	142	descriptor				barato																		
143	a _cold_ drink	una bebida _fría_	S0143	freezing frigid	u b _f_	appearance	temperature	A1	143	descriptor				fría																		
144	_monday_ the first	_lunes_ primero	S0144	MOON day::days of the week are masculine	_l_ p	calendar	day of week	A1	144	noun				lunes																		
145	_tuesday_ the second	_martes_ segundo	S0145	mardi gras	_m_ s	calendar	day of week	A1	145	noun				martes																		
146	_wednesday_ the third	_miércoles_ tercero	S0146		_m_ t	calendar	day of week	A1	146	noun				miércoles																		
147	last _thursday	_jueves_ pasado	S0147		_j_ p	calendar	day of week	A1	147	noun				jueves																		
148	next _friday_	el próximo _viernes_	S0148	some adjectives come before the noun or sometimes can precede or follow the noun	p _v_	calendar	day of week	A1	148	noun				viernes																		
149	this _saturday_	este _sábado_	S0149		e _s_	calendar	day of week	A1	149	noun				sábado																		
150	that _sunday_	ese _domingo_	S0150		e _d_	calendar	day of week	A1	150	noun				domingo																		
151	the other _week_	la otra _semana_	S0151		l o _s_	calendar	month	A1	151	noun				semana																		
152	once per _month_	una vez al _mes_	S0152	AL is a contraction of A EL so mes is masculine	u v a _m_	calendar	month	A1	152	noun				mes																		
153	_seasons_ change	las _estaciones_ cambian	S0153	temporada also means season but in the sense of a period of time such as the skiing season	l _e_ c	calendar	seasons	A1	153	noun				estaciones																		
154	after this _storm_	después de esta _tormenta_	S0154		d d e _t_	environment	weather	A1	154	noun				tormenta																		
155	a short _period_	un _período_ corto	S0155		u _p_ c	time	time	A1	155	noun				período																		
156	sufficient _time_	_tiempo_ suficiente	S0156	tempus fugit	_t_ s	time	time	A1	156	noun				tiempo																		
157	_to_ the station	_a_ la estación	S0157	Yes. it is the same word as the word for “season”.	_a_ l e	grammar	direction	A1	157	preposition				a																		
158	_about_ here	_acerca de_ aquí	S0158	cerca implies location and acerca a-cerca implies motion towards	_a d_ a	grammar	location	A1	158	preposition				acerca de																		
159	_next to_ the television	_al lado de_ la televisión	S0159	lateral note morph	_a l d_ l t	grammar	location	A1	159	preposition				al lado de																		
160	_before_ dinner	_antes de_ cenar	S0160	a.m.::cenar : to eat dinner	_a d_ c	grammar	time	A1	160	preposition				antes de																		
161	_after_ this Saturday	_después de_ este sábado	S0161		_d d_ e s	grammar	time	A1	161	preposition				después de																		
162	coffee _with_ sugar	café _con_ azúcar	S0162	confluence conference consequence	c _c_ a	grammar	combination	A1	162	preposition				con																		
163	_against_ the door	_contra_ la puerta	S0163	to contradict	 contrary	grammar	location	A1	163	preposition				contra																		
164	John_'s_ book	el libro _de_ john	S0164	French	e l _d_ j	grammar	possession	A1	164	preposition				de																		
165	_under_ the tree	_bajo_ el árbol	S0165	baja California	_b_ e á	grammar	location	A1	165	preposition				bajo 2																		
166	_during_ the day	_durante_ el día	S0166	ante => ing morph	_d_ e d	grammar	time	A1	166	preposition				durante																		
167	_at_ the station	_en_ la estación	S0167	at the station / in the station	_e_ l e	grammar	location	A1	167	preposition				en at																		
168	_on the corner_	_en la esquina_	S0168	in / on / at 	_e l e_	grammar	location	A1	168	preposition				en la esquina																		
169	_above_ the window	_encima de_ la ventana	S0169		_e d_ l v	grammar	location	A1	169	preposition				encima de																		
170	_except_ on Sundays	_excepto_ los domingos	S0170		_e_ l d	grammar	exclusion	A1	170	preposition				excepto																		
171	_towards_ the bank	_hacia_ el banco	S0171		_h_ e b	travel	direction	A1	171	preposition				hacia																		
172	_till_ tomorrow	_hasta_ mañana	S0172	hasta la vista (Terminator movie)	_h_ m	grammar	time	A1	172	preposition				hasta																		
173	two _for_ me	dos _para_ mí	S0173	parachute: for a fall	d _p_ m	grammar	destination	A1	173	preposition				para - for																		
174	_by_ the beach	_por_ la playa	S0174		_p_ l p	grammar	location	A1	174	preposition				por																		
175	_without_ milk thanks	_sin_ leche gracias	S0175	“let he who is without sin”	_s_ l g	grammar	exclusion	A1	175	preposition				sin																		
176	_after_ (behind) the traffic lights	_tras de_l semáforo	S0176		_t d_ s	grammar	location	A1	176	preposition				tras de																		
177	green _or_ blue	verde _o_ azul	S0177	 	v _o_ a	grammar	conjunction	A1	177	conjunction				o																		
178	black _and_ white	negro _y_ blanco	S0178		n _y_ b	grammar		A1	178	conjunction				y																		
179	yes _but_	sí _pero_	S0179	dogs like to sniff butt (un perro = a dog)	s _p_	common phrases		A1	179	conjunction				pero																		
180	_if_ we can	_si_ podemos	S0180		_s_ p	grammar		A1	180	conjunction				si																		
181	_in order to_ be able to reserve	_para_ poder reservar	S0181		_p_ p r	grammar		A1	181	conjunction				para																		
182	and _then_ he	y _pues_ él	S0182	then / so:: French “puis”	y _p_ é	grammar		A1	182	conjunction				pues																		
183	_while_ we were speaking	_mientras_ hablábamos	S0183	alternative translation: _mientras_ estábamos hablando	_m_ h	grammar	time	A1	183	conjunction				mientras																		
184	_because_ I don't want to	_porque_ no quiero	S0184	for that (reason):: compare “por qué” : why	_p_ n q	grammar		A1	184	conjunction				porque																		
185	_either_ orange _or_ yellow	_o_ naranja _o_ amarillo	S0185	or or	_o_ n _o_ a	grammar		A1	185	conjunction				o … o 																		
186	_someone_ told me	_alguien_ me dijo	S0186		_a_ m d	grammar		A1	186	pronoun				alguien 1																		
187	is _anyone_ there	hay _alguien_ ahí	S0187	someone and anyone are the same	h _a_ a	grammar		A1	187	pronoun				alguien 2																		
188	_no one_ did anything	_nadie_ hizo nada	S0188	note double negative used in Spanish	_n_ h n	grammar		A1	188	pronoun				nadie																		
189	_something_ better	_algo_ mejor	S0189		_a_ m	grammar		A1	189	pronoun				algo																		
190	_nothing_ important	_nada_ importante	S0190		_n_ i	grammar		A1	190	pronoun				nada																		
191	_everyone_	_todos_	S0191	note: Spanish pluralises where we do not - todos not todo	_t_	grammar		A1	191	pronoun				todos																		
192	_everything_ we ate	_todo_ lo que comimos	S0192	morphed link to total::all that which we ate	_t_ l q c	grammar		A1	192	pronoun				todo																		
193	_that which_ he said	_lo que_ dijo	S0193		_l q_ d	grammar	relative	A1	193	pronoun	grammar			lo que																		
194	_those who_ will live	_los que_ vivirán	S0194		_l q_ v	grammar	relative	A1	194	pronoun	grammar			los que																		
195	_the person who_	_la persona que_	S0195		_l p q_	grammar	relative	A1	195	pronoun	grammar			la persona que																		
196	my _cat_	mi _gato_	S0196	morph::masculine as expected	m _g_	home	pet	A1	196	noun				gato																		
197	amigo: your _bird_	tu _pájaro_	S0197	el pájaro:: parroamigo::masculine as expected	t _p_	home	pet	A1	197	noun				pájaro																		
198	a good _dog_	un _perro_ bueno	S0198	or un buen perro - either	u _p_ b	home	pet	A1	198	noun				perro																		
199	amigo: _hold_ this_!_	_¡sostén_ esto_!_	S0199	SOSTENER::sustain::conjugates the same as tener::irregular imperative	_s_ e 	common phrases	imperative	A1	199	phrase				sostén																		
200	_a bit_ crazy	_un poco_ loco	S0200		_u p_ l	grammar	modifier	A1	200	descriptor				un poco																		
201	_mostly_	_en su mayor parte_	S0201	in its bigger part	e s _m p_	grammar	modifier	A1	201	descriptor				mayor parte																		
202	_too_ hot	_demasiado_ caliente	S0202	of more	_d_ c	grammar	modifier	A1	202	descriptor				demasiado																		
203	_simply_ brilliant	_simplemente_ brillante	S0203	morph / suffix::simple = simple	_s_ b	grammar	modifier	A1	203	descriptor				simplemente																		
204	_very_ close	_muy_ cerca	S0204		_m_ c	grammar	modifier	A1	204	descriptor	grammar			muy																		
205	_really_ dangerous	_realmente_ peligroso	S0205	morph / suffix	_r_ p	grammar	modifier	A1	205	descriptor	grammar			realmente																		
206	_hardly_ enough	_apenas_ bastante	S0206		_a_ b	grammar	modifier	A1	206	descriptor	grammar			apenas																		
207	a cloudy _sky_	un _cielo_ nublado	S0207	ceiling	u _c_ n	environment	sky	A1	207	noun				cielo																		
208	the warmth of the _sun_	el calor del _sol_	S0208	solar eclipse	e c d _s_	environment	sky	A1	208	noun				sol																		
209	a grey _cloud_	una _nube_ gris	S0209		u _n_ g	environment	sky	A1	209	noun				nube																		
210	a strong _wind_	un _viento_ fuerte	S0210	ventilation	u _v_ f	environment	weather	A1	210	noun				viento																		
211	a wide _street_	una _calle_ ancha	S0211	alley	u _c_ a	environment	land	A1	211	noun				calle																		
212	a green _field_	un _campo_ verde	S0212	camping	u _c_ v	environment	land	A1	212	noun				campo																		
213	too much _traffic_	demasiado _tráfico_	S0213		d _t_	environment	land	A1	213	noun				tráfico																		
214	a _hot_ day	un día _caliente_	S0214	calorie	u d _c_	environment	weather	A1	214	descriptor				caliente																		
215	a _windy_ afternoon	una tarde _ventosa_	S0215	ventilation	u t _v_	environment	weather	A1	215	descriptor				ventosa																		
216	a _warm_ evening	una tarde _templada_	S0216	temperate::tarde = afternoon & evening in Spanish	u t _t_	environment	weather	A1	216	descriptor				templada																		
217	a _cool_ evening	una tarde _fresca_	S0217	fresh	u t _f_	environment	weather	A1	217	descriptor				fresca																		
218	all _around_ us	a nuestro _alrededor_	S0218		a n _a_	grammar	location	A1	218	preposition				alrededor																		
219	_inside_ the car	_dentro de_l coche	S0219		_d d_ c	grammar	location	A1	219	preposition				dentro de																		
220	_opposite_ the window	_enfrente de_ la ventana	S0220	facing the front / to confront	_e d_ l v	grammar	location	A1	220	preposition				enfrente de																		
221	_near to_ the sea	_cerca de_l mar	S0221	cerca 100	_c d_ m	grammar	location	A1	221	preposition				cerca de																		
222	_away from_ the mountains	_lejos de_ las montañas	S0222		_l d_ l m	grammar	location	A1	222	preposition				lejos de away from																		
223	in the _fridge_	en el _frigorífico_	S0223	frigid	e e _f_	home	kitchen	A1	223	noun				frigorífico																		
224	a big _television_	una _televisión_ grande	S0224	the “ión” ending is a pattern	u _t_ g	home	lounge	A1	224	noun				televisión																		
225	a small _microwave_	un pequeño _microondas_	S0225	micro undulations	u p _m_	home	kitchen	A1	225	noun				microondas																		
226	through the _window_	a través de la _ventana_	S0226	ventilation:: por la ventana is also valid	a t d l _v_	environment	building	A1	226	noun				ventana																		
227	this _desk_ would be	este _escritorio_ sería	S0227	scribe scribble	e _e_ s	work	tech	A1	227	noun				escritorio																		
228	fresh _fruit_	_fruta_ fresca	S0228		_f_ f	food	fruit	A1	228	noun				fruta																		
229	green _vegetables_	_verduras_ verdes	S0229	las verduras::greens	_v_ v	food	vegetables	A1	229	noun				verduras																		
230	the _meat_ is expensive	la _carne_ es cara	S0230	carnivore	l _c_ e c	food	meat	A1	230	noun				carne																		
231	the _bread_ is fresh	el _pan_ es fresco	S0231	french	e _p_ e f	food	filler	A1	231	noun				pan																		
232	the _problem_ is	el _problema_ es	S0232	note “problema” is masculine despite the ending. An exception to the rule. Exceptions are rare in Spanish	e _p_ e	problems	general	A1	232	noun				problema																		
233	an dangerous _area_	una _zona_ peligrosa	S0233		u _z_ p	environment	location	A1	233	noun				zona																		
234	a difficult _situation_	una _situación_ difícil	S0234	morph + “ión” pattern	u _s_ d	problems	general	A1	234	noun				situación																		
235	an easy _solution_	una _solución_ fácil	S0235	morph + “ión” pattern	u _s_ f	problems	general	A1	235	noun				solución																		
236	amigo: _sit down!_	_¡siéntate!_	S0236	imperative with “te” suffix meaning seat yourself!	_s_	common phrases	imperative	A1	236	phrase				siéntate																		
